date,玉米,小麦,外三元,肉鸡,原油,乙醇,
2020/8/3,1.654763699,2.103821754,32.36677551,4.707466125,29.50349426,0.977602363,4
2020/8/4,1.654763699,1.947364092,32.36677551,4.707466125,25.55896759,0.984852374,4
2020/8/5,1.654763699,2.13732934,32.23954773,3.886962891,26.17007446,0.992213607,4
2020/8/6,1.651540041,2.269603014,32.23954773,3.886962891,26.75080872,0.992213607,4
2020/8/7,1.703702092,2.13732934,32.23954773,3.886962891,26.8183651,0.992213607,4
2020/8/8,1.651540041,2.269603014,32.21725845,3.886962891,25.94460678,0.970465302,4
2020/8/9,1.651540041,2.234220505,32.21725845,3.886962891,26.22383881,1.022737026,4
2020/8/10,1.657968998,2.234220505,32.21725845,3.886962891,27.50535583,1.054893255,4
2020/8/11,1.661155581,2.103821754,32.03364944,3.886962891,29.29883957,1.046708465,4
2020/8/12,1.645037889,2.234220505,32.03364944,3.886962891,30.10533524,1.046708465,4
2020/8/13,1.69786799,2.215291262,32.03364944,3.886962891,30.64111137,1.046708465,4
2020/8/14,1.661155581,2.201127529,31.49516106,3.886962891,33.432724,1.088541865,4
2020/8/15,1.661155581,2.215291262,31.49516106,3.886962891,32.48297119,1.10587728,4
2020/8/16,1.654763699,2.12422514,31.49516106,3.886962891,32.28838348,1.114663601,4
2020/8/17,1.657968998,2.215291262,31.23241234,3.664212704,33.432724,1.132459521,4
2020/8/18,1.667471647,2.13732934,31.23241234,3.664212704,32.41549301,1.141463757,4
2020/8/19,1.664322972,2.097997904,31.23241234,3.664212704,32.67858505,1.132459521,4
2020/8/20,1.700795531,2.255342484,30.87930679,3.597276688,32.08740616,1.141463757,4
2020/8/21,1.709451437,2.097997904,30.87930679,3.597276688,33.55597305,1.123525143,4
2020/8/22,1.667471647,2.097997904,30.87930679,3.597276688,34.62651825,1.132459521,4
2020/8/23,1.667471647,2.215291262,30.4513092,3.734888315,36.49122238,1.159669995,4
2020/8/24,1.667471647,2.097997904,30.4513092,3.734888315,36.35973358,1.196792483,4
2020/8/25,1.726185441,2.04523778,30.4513092,3.734888315,37.27044296,1.150534868,4
2020/8/26,1.673710465,2.097997904,29.98249626,3.734888315,37.52991104,1.132459521,4
2020/8/27,1.667471647,2.067893028,29.98249626,3.734888315,36.75520325,1.132459521,4
2020/8/28,1.679871082,1.947364092,29.98249626,3.734888315,37.08704758,1.159669995,4
2020/8/29,1.68292141,2.126437187,29.02823639,3.771593094,37.62227249,1.18743062,4
2020/8/30,1.685951471,2.209843874,29.02823639,3.771593094,36.43365479,1.168866396,4
2020/8/31,1.688961387,2.209843874,29.02823639,3.771593094,36.88769531,1.141463757,4
2020/9/1,1.700795531,2.009817362,28.8557663,3.771593094,36.92087173,1.168866396,4
2020/9/2,1.685951471,2.067893028,28.8557663,3.771593094,39.45718002,1.178120852,4
2020/9/3,1.679871082,2.067893028,28.8557663,3.771593094,40.54870224,1.178120852,4
2020/9/4,1.68292141,2.009817362,28.678339,3.771593094,40.74259567,1.178120852,4
2020/9/5,1.717915654,1.925723553,28.678339,3.771593094,40.91930771,1.206203461,4
2020/9/6,1.694920063,1.925723553,28.678339,3.771593094,42.99001694,1.244277596,4
2020/9/7,1.703702092,1.925723553,27.76659393,3.771593094,41.63929749,1.263530135,4
2020/9/8,1.747272611,1.97560823,27.76659393,3.771593094,41.97938919,1.253888488,2
2020/9/9,1.712294102,2.077094555,27.76659393,3.771593094,42.47416687,1.253888488,2
2020/9/10,1.69786799,2.080129385,26.8211937,3.771593094,39.65670013,1.206203461,2
2020/9/11,1.703702092,1.989445329,26.8211937,3.771593094,39.81327057,1.215660572,2
2020/9/12,1.703702092,1.989445329,26.8211937,3.771593094,40.68084717,1.178120852,2
2020/9/13,1.703702092,2.077094555,25.92108345,3.968044043,41.7823143,1.215660572,2
2020/9/14,1.703702092,2.077094555,25.92108345,3.968044043,41.55895996,1.263530135,2
2020/9/15,1.706587195,2.115266562,25.92108345,3.968044043,42.27589798,1.244277596,2
2020/9/16,1.700795531,2.077094555,25.25992393,3.734888315,42.89022827,1.253888488,2
2020/9/17,1.703702092,2.077094555,25.25992393,3.734888315,43.70082855,1.273199439,2
2020/9/18,1.691951036,2.077094555,25.25992393,3.734888315,43.29006958,1.253888488,2
2020/9/19,1.69786799,2.077094555,28.0557766,3.734888315,41.20293427,1.282893419,2
2020/9/20,1.703702092,1.97560823,28.0557766,3.734888315,41.86287689,1.159669995,2
2020/9/21,1.703702092,2.077094555,28.0557766,3.734888315,41.83601379,1.178120852,2
2020/9/22,1.69786799,2.077094555,29.9854126,3.809186935,42.45611954,1.196792483,2
2020/9/23,1.747272611,2.077094555,29.9854126,3.809186935,41.95248413,1.215660572,2
2020/9/24,1.717915654,2.077094555,29.9854126,3.809186935,42.74528122,1.215660572,2
2020/9/25,1.700795531,2.115266562,29.9854126,3.809186935,43.75572968,1.225160718,2
2020/9/26,1.694920063,2.077094555,29.9854126,3.809186935,43.44503021,1.321856737,3
2020/9/27,1.709451437,2.077094555,29.9854126,3.809186935,43.71912384,1.321856737,3
2020/9/28,1.703702092,2.067893028,28.30624962,3.968044043,43.70082855,1.321856737,3
2020/9/29,1.715115666,2.115266562,28.30624962,3.968044043,43.89313507,1.360978127,3
2020/9/30,1.76693511,2.156222343,28.30624962,3.968044043,43.03541565,1.370761752,3
2020/10/1,1.709451437,2.196658373,28.36628342,3.734888315,43.84731293,1.409827113,3
2020/10/2,1.723450661,2.196658373,28.36628342,3.734888315,43.37207413,1.331629634,3
2020/10/3,1.747272611,2.067893028,30.42236328,3.734888315,43.53630447,1.341409206,3
2020/10/4,1.688961387,2.259315491,30.42236328,3.734888315,44.35256577,1.244277596,3
2020/10/5,1.69786799,2.245414019,30.42236328,3.734888315,43.96649933,1.225160718,3
2020/10/6,1.68292141,2.077094555,31.13046265,3.734888315,43.75572968,1.225160718,3
2020/10/7,1.744714379,2.080129385,31.13046265,3.809186935,43.95732498,1.18743062,3
2020/10/8,1.688961387,1.989445329,31.13046265,3.809186935,44.84187317,1.132459521,3
